"ZIP
code [1]",Size of adjusted gross income,,,,,
12779,"$25,000 under $50,000",,,,,
12779,"$50,000 under $75,000",,,,,
12779,"$75,000 under $100,000",,,,,
12779,"$100,000 under $200,000",,,,,
12779,"$200,000 or more",,,,,
,,,,,,
12780,,,,,,
12780,"$1 under $25,000",,,,,
12780,"$25,000 under $50,000",,,,,
12780,"$50,000 under $75,000",,,,,
12780,"$75,000 under $100,000",,,,,
12780,"$100,000 under $200,000",,,,,
12780,"$200,000 or more",,,,,
,,,,,,
12783,,,,,,
12783,"$1 under $25,000",,,,,
12783,"$25,000 under $50,000",,,,,
12783,"$50,000 under $75,000",,,,,
12783,"$75,000 under $100,000",,,,,
12783,"$100,000 under $200,000",,,,,
12783,"$200,000 or more",,,,,
,,,,,,
12786,,,,,,
12786,"$1 under $25,000",,,,,
12786,"$25,000 under $50,000",,,,,
12786,"$50,000 under $75,000",,,,,
12786,"$75,000 under $100,000",,,,,
12786,"$100,000 under $200,000",,,,,
12786,"$200,000 or more",,,,,
,,,,,,
12787,,,,,,
12787,"$1 under $25,000",,,,,
12787,"$25,000 under $50,000",,,,,
12787,"$50,000 under $75,000",,,,,
12787,"$75,000 under $100,000",,,,,
12787,"$100,000 under $200,000",,,,,
12787,"$200,000 or more",,,,,
,,,,,,
12788,,,,,,
12788,"$1 under $25,000",,,,,
12788,"$25,000 under $50,000",,,,,
12788,"$50,000 under $75,000",,,,,
12788,"$75,000 under $100,000",,,,,
12788,"$100,000 under $200,000",,,,,
12788,"$200,000 or more",,,,,
,,,,,,
12789,,,,,,
12789,"$1 under $25,000",,,,,
12789,"$25,000 under $50,000",,,,,
12789,"$50,000 under $75,000",,,,,
12789,"$75,000 under $100,000",,,,,
12789,"$100,000 under $200,000",,,,,
12789,"$200,000 or more",,,,,
,,,,,,
12790,,,,,,
12790,"$1 under $25,000",,,,,
12790,"$25,000 under $50,000",,,,,
12790,"$50,000 under $75,000",,,,,
12790,"$75,000 under $100,000",,,,,
12790,"$100,000 under $200,000",,,,,
12790,"$200,000 or more",,,,,
,,,,,,
12791,,,,,,
12791,"$1 under $25,000",,,,,
12791,"$25,000 under $50,000",,,,,
12791,"$50,000 under $75,000",,,,,
12791,"$75,000 under $100,000",,,,,
12791,"$100,000 under $200,000",,,,,
12791,"$200,000 or more",,,,,
,,,,,,
12792,,,,,,
12792,"$1 under $25,000",,,,,
12792,"$25,000 under $50,000",,,,,
12792,"$50,000 under $75,000",,,,,
12792,"$75,000 under $100,000",,,,,
12792,"$100,000 under $200,000",,,,,
12792,"$200,000 or more",,,,,
,,,,,,
12801,,,,,,
12801,"$1 under $25,000",,,,,
12801,"$25,000 under $50,000",,,,,
12801,"$50,000 under $75,000",,,,,
12801,"$75,000 under $100,000",,,,,
12801,"$100,000 under $200,000",,,,,
12801,"$200,000 or more",,,,,
,,,,,,
12803,,,,,,
12803,"$1 under $25,000",,,,,
12803,"$25,000 under $50,000",,,,,
12803,"$50,000 under $75,000",,,,,
12803,"$75,000 under $100,000",,,,,
12803,"$100,000 under $200,000",,,,,
12803,"$200,000 or more",,,,,
,,,,,,
12804,,,,,,
12804,"$1 under $25,000",,,,,
12804,"$25,000 under $50,000",,,,,
12804,"$50,000 under $75,000",,,,,
12804,"$75,000 under $100,000",,,,,
12804,"$100,000 under $200,000",,,,,
12804,"$200,000 or more",,,,,
,,,,,,
12808,,,,,,
12808,"$1 under $25,000",,,,,
12808,"$25,000 under $50,000",,,,,
12808,"$50,000 under $75,000",,,,,
12808,"$75,000 under $100,000",,,,,
12808,"$100,000 under $200,000",,,,,
12808,"$200,000 or more",,,,,
,,,,,,
12809,,,,,,
12809,"$1 under $25,000",,,,,
12809,"$25,000 under $50,000",,,,,
12809,"$50,000 under $75,000",,,,,
12809,"$75,000 under $100,000",,,,,
12809,"$100,000 under $200,000",,,,,
12809,"$200,000 or more",,,,,
,,,,,,
12810,,,,,,
12810,"$1 under $25,000",,,,,
12810,"$25,000 under $50,000",,,,,
12810,"$50,000 under $75,000",,,,,
12810,"$75,000 under $100,000",,,,,
12810,"$100,000 under $200,000",,,,,
12810,"$200,000 or more",,,,,
,,,,,,
12814,,,,,,
12814,"$1 under $25,000",,,,,
12814,"$25,000 under $50,000",,,,,
12814,"$50,000 under $75,000",,,,,
12814,"$75,000 under $100,000",,,,,
12814,"$100,000 under $200,000",,,,,
12814,"$200,000 or more",,,,,
,,,,,,
12815,,,,,,
12815,"$1 under $25,000",,,,,
12815,"$25,000 under $50,000",,,,,
12815,"$50,000 under $75,000",,,,,
12815,"$75,000 under $100,000",,,,,
12815,"$100,000 under $200,000",,,,,
12815,"$200,000 or more",,,,,
,,,,,,
12816,,,,,,
12816,"$1 under $25,000",,,,,
12816,"$25,000 under $50,000",,,,,
12816,"$50,000 under $75,000",,,,,
12816,"$75,000 under $100,000",,,,,
12816,"$100,000 under $200,000",,,,,
12816,"$200,000 or more",,,,,
,,,,,,
12817,,,,,,
12817,"$1 under $25,000",,,,,
12817,"$25,000 under $50,000",,,,,
12817,"$50,000 under $75,000",,,,,
12817,"$75,000 under $100,000",,,,,
12817,"$100,000 under $200,000",,,,,
12817,"$200,000 or more",,,,,
,,,,,,
12819,,,,,,
12819,"$1 under $25,000",,,,,
12819,"$25,000 under $50,000",,,,,
12819,"$50,000 under $75,000",,,,,
12819,"$75,000 under $100,000",,,,,
12819,"$100,000 under $200,000",,,,,
12819,"$200,000 or more",,,,,
,,,,,,
12821,,,,,,
12821,"$1 under $25,000",,,,,
12821,"$25,000 under $50,000",,,,,
12821,"$50,000 under $75,000",,,,,
12821,"$75,000 under $100,000",,,,,
12821,"$100,000 under $200,000",,,,,
12821,"$200,000 or more",,,,,
,,,,,,
12822,,,,,,
12822,"$1 under $25,000",,,,,
12822,"$25,000 under $50,000",,,,,
12822,"$50,000 under $75,000",,,,,
12822,"$75,000 under $100,000",,,,,
12822,"$100,000 under $200,000",,,,,
12822,"$200,000 or more",,,,,
,,,,,,
12823,,,,,,
12823,"$1 under $25,000",,,,,
12823,"$25,000 under $50,000",,,,,
12823,"$50,000 under $75,000",,,,,
12823,"$75,000 under $100,000",,,,,
12823,"$100,000 under $200,000",,,,,
12823,"$200,000 or more",,,,,
,,,,,,
12824,,,,,,
12824,"$1 under $25,000",,,,,
12824,"$25,000 under $50,000",,,,,
12824,"$50,000 under $75,000",,,,,
12824,"$75,000 under $100,000",,,,,
12824,"$100,000 under $200,000",,,,,
12824,"$200,000 or more",,,,,
,,,,,,
12827,,,,,,
12827,"$1 under $25,000",,,,,
12827,"$25,000 under $50,000",,,,,
12827,"$50,000 under $75,000",,,,,
12827,"$75,000 under $100,000",,,,,
12827,"$100,000 under $200,000",,,,,
12827,"$200,000 or more",,,,,
,,,,,,
12828,,,,,,
12828,"$1 under $25,000",,,,,
12828,"$25,000 under $50,000",,,,,
12828,"$50,000 under $75,000",,,,,
12828,"$75,000 under $100,000",,,,,
12828,"$100,000 under $200,000",,,,,
12828,"$200,000 or more",,,,,
,,,,,,
12831,,,,,,
12831,"$1 under $25,000",,,,,
12831,"$25,000 under $50,000",,,,,
12831,"$50,000 under $75,000",,,,,
12831,"$75,000 under $100,000",,,,,
12831,"$100,000 under $200,000",,,,,
12831,"$200,000 or more",,,,,
,,,,,,
12832,,,,,,
12832,"$1 under $25,000",,,,,
12832,"$25,000 under $50,000",,,,,
12832,"$50,000 under $75,000",,,,,
12832,"$75,000 under $100,000",,,,,
12832,"$100,000 under $200,000",,,,,
12832,"$200,000 or more",,,,,
,,,,,,
12833,,,,,,
12833,"$1 under $25,000",,,,,
12833,"$25,000 under $50,000",,,,,
12833,"$50,000 under $75,000",,,,,
12833,"$75,000 under $100,000",,,,,
12833,"$100,000 under $200,000",,,,,
12833,"$200,000 or more",,,,,
,,,,,,
12834,,,,,,
12834,"$1 under $25,000",,,,,
12834,"$25,000 under $50,000",,,,,
12834,"$50,000 under $75,000",,,,,
12834,"$75,000 under $100,000",,,,,
12834,"$100,000 under $200,000",,,,,
12834,"$200,000 or more",,,,,
,,,,,,
12835,,,,,,
12835,"$1 under $25,000",,,,,
12835,"$25,000 under $50,000",,,,,
12835,"$50,000 under $75,000",,,,,
12835,"$75,000 under $100,000",,,,,
12835,"$100,000 under $200,000",,,,,
12835,"$200,000 or more",,,,,
,,,,,,
12836,,,,,,
12836,"$1 under $25,000",,,,,
12836,"$25,000 under $50,000",,,,,
12836,"$50,000 under $75,000",,,,,
12836,"$75,000 under $100,000",,,,,
12836,"$100,000 under $200,000",,,,,
12836,"$200,000 or more",,,,,
,,,,,,
12837,,,,,,
12837,"$1 under $25,000",,,,,
12837,"$25,000 under $50,000",,,,,
12837,"$50,000 under $75,000",,,,,
12837,"$75,000 under $100,000",,,,,
12837,"$100,000 under $200,000",,,,,
12837,"$200,000 or more",,,,,
,,,,,,
12838,,,,,,
12838,"$1 under $25,000",,,,,
12838,"$25,000 under $50,000",,,,,
12838,"$50,000 under $75,000",,,,,
12838,"$75,000 under $100,000",,,,,
12838,"$100,000 under $200,000",,,,,
12838,"$200,000 or more",,,,,
,,,,,,
12839,,,,,,
12839,"$1 under $25,000",,,,,
12839,"$25,000 under $50,000",,,,,
12839,"$50,000 under $75,000",,,,,
12839,"$75,000 under $100,000",,,,,
12839,"$100,000 under $200,000",,,,,
12839,"$200,000 or more",,,,,
,,,,,,
12842,,,,,,
12842,"$1 under $25,000",,,,,
12842,"$25,000 under $50,000",,,,,
12842,"$50,000 under $75,000",,,,,
12842,"$75,000 under $100,000",,,,,
12842,"$100,000 under $200,000",,,,,
12842,"$200,000 or more",,,,,
,,,,,,
12843,,,,,,
12843,"$1 under $25,000",,,,,
12843,"$25,000 under $50,000",,,,,
12843,"$50,000 under $75,000",,,,,
12843,"$75,000 under $100,000",,,,,
12843,"$100,000 under $200,000",,,,,
12843,"$200,000 or more",,,,,
,,,,,,
12844,,,,,,
12844,"$1 under $25,000",,,,,
12844,"$25,000 under $50,000",,,,,
12844,"$50,000 under $75,000",,,,,
12844,"$75,000 under $100,000",,,,,
12844,"$100,000 under $200,000",,,,,
12844,"$200,000 or more",,,,,
,,,,,,
12845,,,,,,
12845,"$1 under $25,000",,,,,
12845,"$25,000 under $50,000",,,,,
12845,"$50,000 under $75,000",,,,,
12845,"$75,000 under $100,000",,,,,
12845,"$100,000 under $200,000",,,,,
12845,"$200,000 or more",,,,,
,,,,,,
12846,,,,,,
12846,"$1 under $25,000",,,,,
12846,"$25,000 under $50,000",,,,,
12846,"$50,000 under $75,000",,,,,
12846,"$75,000 under $100,000",,,,,
12846,"$100,000 under $200,000",,,,,
12846,"$200,000 or more",,,,,
,,,,,,
12847,,,,,,
12847,"$1 under $25,000",,,,,
12847,"$25,000 under $50,000",,,,,
12847,"$50,000 under $75,000",,,,,
12847,"$75,000 under $100,000",,,,,
12847,"$100,000 under $200,000",,,,,
12847,"$200,000 or more",,,,,
,,,,,,
12849,,,,,,
12849,"$1 under $25,000",,,,,
12849,"$25,000 under $50,000",,,,,
12849,"$50,000 under $75,000",,,,,
12849,"$75,000 under $100,000",,,,,
12849,"$100,000 under $200,000",,,,,
12849,"$200,000 or more",,,,,
,,,,,,
12850,,,,,,
12850,"$1 under $25,000",,,,,
12850,"$25,000 under $50,000",,,,,
12850,"$50,000 under $75,000",,,,,
12850,"$75,000 under $100,000",,,,,
12850,"$100,000 under $200,000",,,,,
12850,"$200,000 or more",,,,,
,,,,,,
12851,,,,,,
12851,"$1 under $25,000",,,,,
12851,"$25,000 under $50,000",,,,,
12851,"$50,000 under $75,000",,,,,
12851,"$75,000 under $100,000",,,,,
12851,"$100,000 under $200,000",,,,,
12851,"$200,000 or more",,,,,
,,,,,,
12852,,,,,,
12852,"$1 under $25,000",,,,,
12852,"$25,000 under $50,000",,,,,
12852,"$50,000 under $75,000",,,,,
12852,"$75,000 under $100,000",,,,,
12852,"$100,000 under $200,000",,,,,
12852,"$200,000 or more",,,,,
,,,,,,
12853,,,,,,
12853,"$1 under $25,000",,,,,
12853,"$25,000 under $50,000",,,,,
12853,"$50,000 under $75,000",,,,,
12853,"$75,000 under $100,000",,,,,
12853,"$100,000 under $200,000",,,,,
12853,"$200,000 or more",,,,,
,,,,,,
12855,,,,,,
12855,"$1 under $25,000",,,,,
12855,"$25,000 under $50,000",,,,,
12855,"$50,000 under $75,000",,,,,
12855,"$75,000 under $100,000",,,,,
12855,"$100,000 under $200,000",,,,,
12855,"$200,000 or more",,,,,
,,,,,,
12857,,,,,,
12857,"$1 under $25,000",,,,,
12857,"$25,000 under $50,000",,,,,
12857,"$50,000 under $75,000",,,,,
12857,"$75,000 under $100,000",,,,,
12857,"$100,000 under $200,000",,,,,
12857,"$200,000 or more",,,,,
,,,,,,
12859,,,,,,
12859,"$1 under $25,000",,,,,
12859,"$25,000 under $50,000",,,,,
12859,"$50,000 under $75,000",,,,,
12859,"$75,000 under $100,000",,,,,
12859,"$100,000 under $200,000",,,,,
12859,"$200,000 or more",,,,,
,,,,,,
12860,,,,,,
12860,"$1 under $25,000",,,,,
12860,"$25,000 under $50,000",,,,,
12860,"$50,000 under $75,000",,,,,
12860,"$75,000 under $100,000",,,,,
12860,"$100,000 under $200,000",,,,,
12860,"$200,000 or more",,,,,
,,,,,,
12861,,,,,,
12861,"$1 under $25,000",,,,,
12861,"$25,000 under $50,000",,,,,
12861,"$50,000 under $75,000",,,,,
12861,"$75,000 under $100,000",,,,,
12861,"$100,000 under $200,000",,,,,
12861,"$200,000 or more",,,,,
,,,,,,
12863,,,,,,
12863,"$1 under $25,000",,,,,
12863,"$25,000 under $50,000",,,,,
12863,"$50,000 under $75,000",,,,,
12863,"$75,000 under $100,000",,,,,
12863,"$100,000 under $200,000",,,,,
12863,"$200,000 or more",,,,,
,,,,,,
12865,,,,,,
12865,"$1 under $25,000",,,,,
12865,"$25,000 under $50,000",,,,,
12865,"$50,000 under $75,000",,,,,
12865,"$75,000 under $100,000",,,,,
12865,"$100,000 under $200,000",,,,,
12865,"$200,000 or more",,,,,
,,,,,,
12866,,,,,,
12866,"$1 under $25,000",,,,,
12866,"$25,000 under $50,000",,,,,
12866,"$50,000 under $75,000",,,,,
12866,"$75,000 under $100,000",,,,,
12866,"$100,000 under $200,000",,,,,
12866,"$200,000 or more",,,,,
,,,,,,
12870,,,,,,
12870,"$1 under $25,000",,,,,
12870,"$25,000 under $50,000",,,,,
12870,"$50,000 under $75,000",,,,,
12870,"$75,000 under $100,000",,,,,
12870,"$100,000 under $200,000",,,,,
12870,"$200,000 or more",,,,,
,,,,,,
12871,,,,,,
12871,"$1 under $25,000",,,,,
12871,"$25,000 under $50,000",,,,,
12871,"$50,000 under $75,000",,,,,
12871,"$75,000 under $100,000",,,,,
12871,"$100,000 under $200,000",,,,,
12871,"$200,000 or more",,,,,
,,,,,,
12873,,,,,,
12873,"$1 under $25,000",,,,,
12873,"$25,000 under $50,000",,,,,
12873,"$50,000 under $75,000",,,,,
12873,"$75,000 under $100,000",,,,,
12873,"$100,000 under $200,000",,,,,
12873,"$200,000 or more",,,,,
,,,,,,
12878,,,,,,
12878,"$1 under $25,000",,,,,
12878,"$25,000 under $50,000",,,,,
12878,"$50,000 under $75,000",,,,,
12878,"$75,000 under $100,000",,,,,
12878,"$100,000 under $200,000",,,,,
12878,"$200,000 or more",,,,,
,,,,,,
12883,,,,,,
12883,"$1 under $25,000",,,,,
12883,"$25,000 under $50,000",,,,,
12883,"$50,000 under $75,000",,,,,
12883,"$75,000 under $100,000",,,,,
12883,"$100,000 under $200,000",,,,,
12883,"$200,000 or more",,,,,
,,,,,,
12885,,,,,,
12885,"$1 under $25,000",,,,,
12885,"$25,000 under $50,000",,,,,
12885,"$50,000 under $75,000",,,,,
12885,"$75,000 under $100,000",,,,,
12885,"$100,000 under $200,000",,,,,
12885,"$200,000 or more",,,,,
,,,,,,
12886,,,,,,
12886,"$1 under $25,000",,,,,
12886,"$25,000 under $50,000",,,,,
12886,"$50,000 under $75,000",,,,,
12886,"$75,000 under $100,000",,,,,
12886,"$100,000 under $200,000",,,,,
12886,"$200,000 or more",,,,,
,,,,,,
12887,,,,,,
12887,"$1 under $25,000",,,,,
12887,"$25,000 under $50,000",,,,,
12887,"$50,000 under $75,000",,,,,
12887,"$75,000 under $100,000",,,,,
12887,"$100,000 under $200,000",,,,,
12887,"$200,000 or more",,,,,
,,,,,,
12901,,,,,,
12901,"$1 under $25,000",,,,,
12901,"$25,000 under $50,000",,,,,
12901,"$50,000 under $75,000",,,,,
12901,"$75,000 under $100,000",,,,,
12901,"$100,000 under $200,000",,,,,
12901,"$200,000 or more",,,,,
,,,,,,
12903,,,,,,
12903,"$1 under $25,000",,,,,
12903,"$25,000 under $50,000",,,,,
12903,"$50,000 under $75,000",,,,,
12903,"$75,000 under $100,000",,,,,
12903,"$100,000 under $200,000",,,,,
12903,"$200,000 or more",,,,,
,,,,,,
12910,,,,,,
12910,"$1 under $25,000",,,,,
12910,"$25,000 under $50,000",,,,,
12910,"$50,000 under $75,000",,,,,
12910,"$75,000 under $100,000",,,,,
12910,"$100,000 under $200,000",,,,,
12910,"$200,000 or more",,,,,
,,,,,,
12912,,,,,,
12912,"$1 under $25,000",,,,,
12912,"$25,000 under $50,000",,,,,
12912,"$50,000 under $75,000",,,,,
12912,"$75,000 under $100,000",,,,,
12912,"$100,000 under $200,000",,,,,
12912,"$200,000 or more",,,,,
,,,,,,
12913,,,,,,
12913,"$1 under $25,000",,,,,
12913,"$25,000 under $50,000",,,,,
12913,"$50,000 under $75,000",,,,,
12913,"$75,000 under $100,000",,,,,
12913,"$100,000 under $200,000",,,,,
12913,"$200,000 or more",,,,,
,,,,,,
12914,,,,,,
12914,"$1 under $25,000",,,,,
12914,"$25,000 under $50,000",,,,,
12914,"$50,000 under $75,000",,,,,
12914,"$75,000 under $100,000",,,,,
12914,"$100,000 under $200,000",,,,,
12914,"$200,000 or more",,,,,
,,,,,,
12916,,,,,,
12916,"$1 under $25,000",,,,,
12916,"$25,000 under $50,000",,,,,
12916,"$50,000 under $75,000",,,,,
12916,"$75,000 under $100,000",,,,,
12916,"$100,000 under $200,000",,,,,
12916,"$200,000 or more",,,,,
,,,,,,
12917,,,,,,
12917,"$1 under $25,000",,,,,
12917,"$25,000 under $50,000",,,,,
12917,"$50,000 under $75,000",,,,,
12917,"$75,000 under $100,000",,,,,
12917,"$100,000 under $200,000",,,,,
12917,"$200,000 or more",,,,,
,,,,,,
12918,,,,,,
12918,"$1 under $25,000",,,,,
12918,"$25,000 under $50,000",,,,,
12918,"$50,000 under $75,000",,,,,
12918,"$75,000 under $100,000",,,,,
12918,"$100,000 under $200,000",,,,,
12918,"$200,000 or more",,,,,
,,,,,,
12919,,,,,,
12919,"$1 under $25,000",,,,,
12919,"$25,000 under $50,000",,,,,
12919,"$50,000 under $75,000",,,,,
12919,"$75,000 under $100,000",,,,,
12919,"$100,000 under $200,000",,,,,
12919,"$200,000 or more",,,,,
,,,,,,
12920,,,,,,
12920,"$1 under $25,000",,,,,
12920,"$25,000 under $50,000",,,,,
12920,"$50,000 under $75,000",,,,,
12920,"$75,000 under $100,000",,,,,
12920,"$100,000 under $200,000",,,,,
12920,"$200,000 or more",,,,,
,,,,,,
12921,,,,,,
12921,"$1 under $25,000",,,,,
12921,"$25,000 under $50,000",,,,,
12921,"$50,000 under $75,000",,,,,
12921,"$75,000 under $100,000",,,,,
12921,"$100,000 under $200,000",,,,,
12921,"$200,000 or more",,,,,
,,,,,,
12923,,,,,,
12923,"$1 under $25,000",,,,,
12923,"$25,000 under $50,000",,,,,
12923,"$50,000 under $75,000",,,,,
12923,"$75,000 under $100,000",,,,,
12923,"$100,000 under $200,000",,,,,
12923,"$200,000 or more",,,,,
,,,,,,
12926,,,,,,
12926,"$1 under $25,000",,,,,
12926,"$25,000 under $50,000",,,,,
12926,"$50,000 under $75,000",,,,,
12926,"$75,000 under $100,000",,,,,
12926,"$100,000 under $200,000",,,,,
12926,"$200,000 or more",,,,,
,,,,,,
12928,,,,,,
12928,"$1 under $25,000",,,,,
12928,"$25,000 under $50,000",,,,,
12928,"$50,000 under $75,000",,,,,
12928,"$75,000 under $100,000",,,,,
12928,"$100,000 under $200,000",,,,,
12928,"$200,000 or more",,,,,
,,,,,,
12930,,,,,,
12930,"$1 under $25,000",,,,,
12930,"$25,000 under $50,000",,,,,
12930,"$50,000 under $75,000",,,,,
12930,"$75,000 under $100,000",,,,,
12930,"$100,000 under $200,000",,,,,
12930,"$200,000 or more",,,,,
,,,,,,
12932,,,,,,
12932,"$1 under $25,000",,,,,
12932,"$25,000 under $50,000",,,,,
12932,"$50,000 under $75,000",,,,,
12932,"$75,000 under $100,000",,,,,
12932,"$100,000 under $200,000",,,,,
12932,"$200,000 or more",,,,,
,,,,,,
12934,,,,,,
12934,"$1 under $25,000",,,,,
12934,"$25,000 under $50,000",,,,,
12934,"$50,000 under $75,000",,,,,
12934,"$75,000 under $100,000",,,,,
12934,"$100,000 under $200,000",,,,,
12934,"$200,000 or more",,,,,
,,,,,,
12935,,,,,,
12935,"$1 under $25,000",,,,,
12935,"$25,000 under $50,000",,,,,
12935,"$50,000 under $75,000",,,,,
12935,"$75,000 under $100,000",,,,,
12935,"$100,000 under $200,000",,,,,
12935,"$200,000 or more",,,,,
,,,,,,
12936,,,,,,
12936,"$1 under $25,000",,,,,
12936,"$25,000 under $50,000",,,,,
12936,"$50,000 under $75,000",,,,,
12936,"$75,000 under $100,000",,,,,
12936,"$100,000 under $200,000",,,,,
12936,"$200,000 or more",,,,,
,,,,,,
12937,,,,,,
12937,"$1 under $25,000",,,,,
12937,"$25,000 under $50,000",,,,,
12937,"$50,000 under $75,000",,,,,
12937,"$75,000 under $100,000",,,,,
12937,"$100,000 under $200,000",,,,,
12937,"$200,000 or more",,,,,
,,,,,,
12941,,,,,,
12941,"$1 under $25,000",,,,,
12941,"$25,000 under $50,000",,,,,
12941,"$50,000 under $75,000",,,,,
12941,"$75,000 under $100,000",,,,,
12941,"$100,000 under $200,000",,,,,
12941,"$200,000 or more",,,,,
,,,,,,
12942,,,,,,
12942,"$1 under $25,000",,,,,
12942,"$25,000 under $50,000",,,,,
12942,"$50,000 under $75,000",,,,,
12942,"$75,000 under $100,000",,,,,
12942,"$100,000 under $200,000",,,,,
12942,"$200,000 or more",,,,,
,,,,,,
12943,,,,,,
12943,"$1 under $25,000",,,,,
12943,"$25,000 under $50,000",,,,,
12943,"$50,000 under $75,000",,,,,
12943,"$75,000 under $100,000",,,,,
12943,"$100,000 under $200,000",,,,,
12943,"$200,000 or more",,,,,
,,,,,,
12944,,,,,,
12944,"$1 under $25,000",,,,,
12944,"$25,000 under $50,000",,,,,
12944,"$50,000 under $75,000",,,,,
12944,"$75,000 under $100,000",,,,,
12944,"$100,000 under $200,000",,,,,
12944,"$200,000 or more",,,,,
,,,,,,
12945,,,,,,
12945,"$1 under $25,000",,,,,
12945,"$25,000 under $50,000",,,,,
12945,"$50,000 under $75,000",,,,,
12945,"$75,000 under $100,000",,,,,
12945,"$100,000 under $200,000",,,,,
12945,"$200,000 or more",,,,,
,,,,,,
12946,,,,,,
12946,"$1 under $25,000",,,,,
12946,"$25,000 under $50,000",,,,,
12946,"$50,000 under $75,000",,,,,
12946,"$75,000 under $100,000",,,,,
12946,"$100,000 under $200,000",,,,,
12946,"$200,000 or more",,,,,
,,,,,,
12950,,,,,,
12950,"$1 under $25,000",,,,,
12950,"$25,000 under $50,000",,,,,
12950,"$50,000 under $75,000",,,,,
12950,"$75,000 under $100,000",,,,,
12950,"$100,000 under $200,000",,,,,
12950,"$200,000 or more",,,,,
,,,,,,
12952,,,,,,
12952,"$1 under $25,000",,,,,
12952,"$25,000 under $50,000",,,,,
12952,"$50,000 under $75,000",,,,,
12952,"$75,000 under $100,000",,,,,
12952,"$100,000 under $200,000",,,,,
12952,"$200,000 or more",,,,,
,,,,,,
12953,,,,,,
12953,"$1 under $25,000",,,,,
12953,"$25,000 under $50,000",,,,,
12953,"$50,000 under $75,000",,,,,
12953,"$75,000 under $100,000",,,,,
12953,"$100,000 under $200,000",,,,,
12953,"$200,000 or more",,,,,
,,,,,,
12955,,,,,,
12955,"$1 under $25,000",,,,,
12955,"$25,000 under $50,000",,,,,
12955,"$50,000 under $75,000",,,,,
12955,"$75,000 under $100,000",,,,,
12955,"$100,000 under $200,000",,,,,
12955,"$200,000 or more",,,,,
,,,,,,
12956,,,,,,
12956,"$1 under $25,000",,,,,
12956,"$25,000 under $50,000",,,,,
12956,"$50,000 under $75,000",,,,,
12956,"$75,000 under $100,000",,,,,
12956,"$100,000 under $200,000",,,,,
12956,"$200,000 or more",,,,,
,,,,,,
12957,,,,,,
12957,"$1 under $25,000",,,,,
12957,"$25,000 under $50,000",,,,,
12957,"$50,000 under $75,000",,,,,
12957,"$75,000 under $100,000",,,,,
12957,"$100,000 under $200,000",,,,,
12957,"$200,000 or more",,,,,
,,,,,,
12958,,,,,,
12958,"$1 under $25,000",,,,,
12958,"$25,000 under $50,000",,,,,
12958,"$50,000 under $75,000",,,,,
12958,"$75,000 under $100,000",,,,,
12958,"$100,000 under $200,000",,,,,
12958,"$200,000 or more",,,,,
,,,,,,
12959,,,,,,
12959,"$1 under $25,000",,,,,
12959,"$25,000 under $50,000",,,,,
12959,"$50,000 under $75,000",,,,,
12959,"$75,000 under $100,000",,,,,
12959,"$100,000 under $200,000",,,,,
12959,"$200,000 or more",,,,,
,,,,,,
12960,,,,,,
12960,"$1 under $25,000",,,,,
12960,"$25,000 under $50,000",,,,,
12960,"$50,000 under $75,000",,,,,
12960,"$75,000 under $100,000",,,,,
12960,"$100,000 under $200,000",,,,,
12960,"$200,000 or more",,,,,
,,,,,,
12961,,,,,,
12961,"$1 under $25,000",,,,,
12961,"$25,000 under $50,000",,,,,
12961,"$50,000 under $75,000",,,,,
12961,"$75,000 under $100,000",,,,,
12961,"$100,000 under $200,000",,,,,
12961,"$200,000 or more",,,,,
,,,,,,
12962,,,,,,
12962,"$1 under $25,000",,,,,
12962,"$25,000 under $50,000",,,,,
12962,"$50,000 under $75,000",,,,,
12962,"$75,000 under $100,000",,,,,
12962,"$100,000 under $200,000",,,,,
12962,"$200,000 or more",,,,,
,,,,,,
12965,,,,,,
12965,"$1 under $25,000",,,,,
12965,"$25,000 under $50,000",,,,,
12965,"$50,000 under $75,000",,,,,
12965,"$75,000 under $100,000",,,,,
12965,"$100,000 under $200,000",,,,,
12965,"$200,000 or more",,,,,
,,,,,,
12966,,,,,,
12966,"$1 under $25,000",,,,,
12966,"$25,000 under $50,000",,,,,
12966,"$50,000 under $75,000",,,,,
12966,"$75,000 under $100,000",,,,,
12966,"$100,000 under $200,000",,,,,
12966,"$200,000 or more",,,,,
,,,,,,
12967,,,,,,
12967,"$1 under $25,000",,,,,
12967,"$25,000 under $50,000",,,,,
12967,"$50,000 under $75,000",,,,,
12967,"$75,000 under $100,000",,,,,
12967,"$100,000 under $200,000",,,,,
12967,"$200,000 or more",,,,,
,,,,,,
12969,,,,,,
12969,"$1 under $25,000",,,,,
12969,"$25,000 under $50,000",,,,,
12969,"$50,000 under $75,000",,,,,
12969,"$75,000 under $100,000",,,,,
12969,"$100,000 under $200,000",,,,,
12969,"$200,000 or more",,,,,
,,,,,,
12970,,,,,,
12970,"$1 under $25,000",,,,,
12970,"$25,000 under $50,000",,,,,
12970,"$50,000 under $75,000",,,,,
12970,"$75,000 under $100,000",,,,,
12970,"$100,000 under $200,000",,,,,
12970,"$200,000 or more",,,,,
,,,,,,
12972,,,,,,
12972,"$1 under $25,000",,,,,
12972,"$25,000 under $50,000",,,,,
12972,"$50,000 under $75,000",,,,,
12972,"$75,000 under $100,000",,,,,
12972,"$100,000 under $200,000",,,,,
