"ZIP
code [1]",Size of adjusted gross income,,,,,
10307,"$50,000 under $75,000",,,,,
10307,"$75,000 under $100,000",,,,,
10307,"$100,000 under $200,000",,,,,
10307,"$200,000 or more",,,,,
,,,,,,
10308,,,,,,
10308,"$1 under $25,000",,,,,
10308,"$25,000 under $50,000",,,,,
10308,"$50,000 under $75,000",,,,,
10308,"$75,000 under $100,000",,,,,
10308,"$100,000 under $200,000",,,,,
10308,"$200,000 or more",,,,,
,,,,,,
10309,,,,,,
10309,"$1 under $25,000",,,,,
10309,"$25,000 under $50,000",,,,,
10309,"$50,000 under $75,000",,,,,
10309,"$75,000 under $100,000",,,,,
10309,"$100,000 under $200,000",,,,,
10309,"$200,000 or more",,,,,
,,,,,,
10310,,,,,,
10310,"$1 under $25,000",,,,,
10310,"$25,000 under $50,000",,,,,
10310,"$50,000 under $75,000",,,,,
10310,"$75,000 under $100,000",,,,,
10310,"$100,000 under $200,000",,,,,
10310,"$200,000 or more",,,,,
,,,,,,
10312,,,,,,
10312,"$1 under $25,000",,,,,
10312,"$25,000 under $50,000",,,,,
10312,"$50,000 under $75,000",,,,,
10312,"$75,000 under $100,000",,,,,
10312,"$100,000 under $200,000",,,,,
10312,"$200,000 or more",,,,,
,,,,,,
10314,,,,,,
10314,"$1 under $25,000",,,,,
10314,"$25,000 under $50,000",,,,,
10314,"$50,000 under $75,000",,,,,
10314,"$75,000 under $100,000",,,,,
10314,"$100,000 under $200,000",,,,,
10314,"$200,000 or more",,,,,
,,,,,,
10451,,,,,,
10451,"$1 under $25,000",,,,,
10451,"$25,000 under $50,000",,,,,
10451,"$50,000 under $75,000",,,,,
10451,"$75,000 under $100,000",,,,,
10451,"$100,000 under $200,000",,,,,
10451,"$200,000 or more",,,,,
,,,,,,
10452,,,,,,
10452,"$1 under $25,000",,,,,
10452,"$25,000 under $50,000",,,,,
10452,"$50,000 under $75,000",,,,,
10452,"$75,000 under $100,000",,,,,
10452,"$100,000 under $200,000",,,,,
10452,"$200,000 or more",,,,,
,,,,,,
10453,,,,,,
10453,"$1 under $25,000",,,,,
10453,"$25,000 under $50,000",,,,,
10453,"$50,000 under $75,000",,,,,
10453,"$75,000 under $100,000",,,,,
10453,"$100,000 under $200,000",,,,,
10453,"$200,000 or more",,,,,
,,,,,,
10454,,,,,,
10454,"$1 under $25,000",,,,,
10454,"$25,000 under $50,000",,,,,
10454,"$50,000 under $75,000",,,,,
10454,"$75,000 under $100,000",,,,,
10454,"$100,000 under $200,000",,,,,
10454,"$200,000 or more",,,,,
,,,,,,
10455,,,,,,
10455,"$1 under $25,000",,,,,
10455,"$25,000 under $50,000",,,,,
10455,"$50,000 under $75,000",,,,,
