Address,Price,City,State,Lat,Long,Google Address,Google Street Number,Google Route,Google Neighorhood,Google Political,Google Adminstrative Level 2,Google Adminstrative Level 1,Country,Postal Code,,
 Edwards Ave Hn,"$429,000 ",Bronx,NY,40.838258,-73.836562,"2749 Latting St, Bronx, NY 10461, USA",2749,Latting Street,East Bronx,Bronx,Bronx County,New York,United States,10461,5810,
 Edwards Ave Yhh,"$429,000 ",Bronx,NY,40.838258,-73.836562,"2749 Latting St, Bronx, NY 10461, USA",2749,Latting Street,East Bronx,Bronx,Bronx County,New York,United States,10461,5810,
 Ely Ave,"$579,000 ",Bronx,NY,40.881926,-73.842116,"3548 Ely Ave, Bronx, NY 10466, USA",3548,Ely Avenue,East Bronx,Bronx,Bronx County,New York,United States,10466,,
 Ely Ave Gty,"$579,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Huge 1 Fam In Eastchester Light Ave,"$468,000 ",Bronx,NY,40.887812,-73.831297,"3799 Dyre Ave, Bronx, NY 10466, USA",3799,Dyre Avenue,East Bronx,Bronx,Bronx County,New York,United States,10466,6110,
 Hunts Pt,"$425,000 ",Bronx,NY,40.844782,-73.864827,"1724 Hunt Ave, Bronx, NY 10462, USA",1724,Hunt Avenue,East Bronx,Bronx,Bronx County,New York,United States,10462,,
 Mickle Ave,"$449,000 ",Bronx,NY,40.869767,-73.841566,"2960 Mickle Ave, Bronx, NY 10469, USA",2960,Mickle Avenue,East Bronx,Bronx,Bronx County,New York,United States,10469,3304,
 Mickle Ave Btt,"$449,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Monterey Ave,"$299,000 ",Bronx,NY,40.848773,-73.893985,"531-547 E 179th St, Bronx, NY 10457, USA",531-547,East 179th Street,West Bronx,Bronx,Bronx County,New York,United States,10457,,
 Mroo Bronxwood Ave Bronx Ny 10469 2 Fam Brs 3/2 Fin Basmt Garg Yard 665k,"$665,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Newman Ave Clason Pt,"$575,000 ",Bronx,NY,40.813432,-73.855156,"Compton Ave, Bronx, NY 10473, USA",Compton Avenue,East Bronx,Bronx,Bronx County,New York,United States,10473,,,
 Ogden Ave,"$1,600,000 ",Bronx,NY,40.836944,-73.927123,"1133-1149 Ogden Ave, Bronx, NY 10452, USA",1133-1149,Ogden Avenue,West Bronx,Bronx,Bronx County,New York,United States,10452,,
 Pelham Pkwy N,"$479,000 ",Bronx,NY,40.858352,-73.854067,"1149 Pelham Pkwy N, Bronx, NY 10469, USA",1149,Pelham Parkway North,East Bronx,Bronx,Bronx County,New York,United States,10469,,
 Roberts Ave,"$629,000 ",Bronx,NY,40.845681,-73.835258,"1699 Mulford Ave, Bronx, NY 10461, USA",1699,Mulford Avenue,East Bronx,Bronx,Bronx County,New York,United States,10461,4305,
 Saint Ann Ass,"$539,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Saint Ann Bghh,"$559,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Saint Ann Hyy,"$559,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
 Saint Ann Yuj,"$559,000 ",Bronx,NY,40.83705,-73.865429,"1475 Thieriot Ave, Bronx, NY 10460, USA",1475,Thieriot Avenue,East Bronx,Bronx,Bronx County,New York,United States,10460,,
