"","zpid","bathrooms","bedrooms","sqft","st","city","state","lat","long","valuation","lowval","highval","nb","nbid"
"788","2106936916","1.0","1",NA,"110 Remsen St STE 1","Brooklyn","NY","40.693328","-73.992691","1019416","968445","1070387","Brooklyn Heights","403122"
"789","2108145241","1.0","1",NA,"110 Remsen St APT 1C","Brooklyn","NY","40.693328","-73.992691","1019416","968445","1070387","Brooklyn Heights","403122"
"790","30567728","2.0","2","8708","114 Remsen St","Brooklyn","NY","40.69371","-73.99417","4374668","4112188","4943375","Brooklyn Heights","403122"
"791","62646258",NA,NA,"9207","132 Remsen St","Brooklyn","NY","40.69355","-73.99354","5412607","4600716","7144641","Brooklyn Heights","403122"
"792","120730198","1.0","1",NA,"140 Remsen St","Brooklyn","NY","40.693485","-73.993248","5258986","4627908","6994451","Brooklyn Heights","403122"
"793","64571566","2.5","3",NA,"60 State St","Brooklyn","NY","40.69177","-73.997875","","","","Brooklyn Heights","403122"
"794","68312766",NA,NA,"1108","322 Hicks St # 324HI","Brooklyn","NY","40.691532","-73.997664","1329719","1236639","1422799","Brooklyn Heights","403122"
"795","83042731","1.0","2","3777","51 Columbia Pl","Brooklyn","NY","40.692428","-73.998657","","","","Brooklyn Heights","403122"
"796","62646259",NA,NA,"4320","294 Hicks St","Brooklyn","NY","40.692535","-73.997435","","","","Brooklyn Heights","403122"
"797","64454058",NA,NA,"4160","298 Hicks St","Brooklyn","NY","40.692435","-73.99749","","","","Brooklyn Heights","403122"
"798","62646260",NA,NA,"8126","94 Joralemon St","Brooklyn","NY","40.6931","-73.99583","","","","Brooklyn Heights","403122"
"799","30567915",NA,NA,"1405","242 Henry St","Brooklyn","NY","40.693055","-73.995205","1725894","1570564","1898483","Brooklyn Heights","403122"
"800","62646261",NA,NA,"4065","242 Henry St","Brooklyn","NY","40.69305","-73.995385","","","","Brooklyn Heights","403122"
"801","62646262",NA,NA,"4475","13 Garden Pl","Brooklyn","NY","40.692825","-73.995865","","","","Brooklyn Heights","403122"
"802","62646263",NA,NA,"4773","253 Henry St","Brooklyn","NY","40.693","-73.994885","","","","Brooklyn Heights","403122"
"803","62646264","5.0","6","4660","265 Henry St","Brooklyn","NY","40.692585","-73.995049","4585889","3668711","7199846","Brooklyn Heights","403122"
"804","30567965",NA,NA,"93500","130 Clinton St","Brooklyn","NY","40.69261","-73.99346","2625339","2257792","2992886","Brooklyn Heights","403122"
"805","30567968","2.0","2","180000","75 Livingston St","Brooklyn","NY","40.691869","-73.99165","1906033","1753550","2058516","Brooklyn Heights","403122"
"806","79725947",NA,NA,NA,"75 Livingston St","Brooklyn","NY","40.69189","-73.991706","742908","676046","802341","Brooklyn Heights","403122"
"807","89132901",NA,NA,NA,"75 Livingston St","Brooklyn","NY","40.69189","-73.991706","742908","676046","802341","Brooklyn Heights","403122"
