"","CD","CT2010","CB2010","SchoolDist","ZipCode","Address","BldgClass","UnitsRes","YearBuilt","NumFloors"
"6710",306,71,2001,15,11217,"462 WARREN STREET","R3",18,1989,3
"6711",306,127,2000,13,11217,"131 3 AVENUE","D1",200,1971,6
"6712",306,127,2000,13,11217,"610 WARREN STREET","D3",29,0,0
"6713",306,127,2000,13,11217,"110 4 AVENUE","D6",49,2007,10
"6721",306,127,2000,13,11217,"599 BALTIC STREET","D3",70,0,0
"6722",306,127,2000,13,11217,"577 BALTIC STREET","D3",27,0,0
"6776",306,69,2001,15,11231,"91 BUTLER STREET","R3",6,1950,3
"6777",306,69,2001,15,11231,"105 BUTLER STREET","R3",5,1989,3
"6778",306,69,2001,15,11231,"101 BUTLER STREET","R3",6,1989,3
"6779",306,69,2001,15,11201,"209 SMITH STREET","RM",6,2000,4
"6780",306,69,2001,15,11231,"113 BUTLER STREET","R1",4,2006,4
"6781",306,69,2001,15,11231,"223 SMITH STREET","RM",5,1930,4
"6782",306,69,2001,15,11201,"360 BALTIC STREET","R1",9,2008,5
"6783",306,69,2001,15,11201,"378 BALTIC STREET","RM",36,2007,11
"6784",306,71,3000,15,11217,"229 HOYT STREET","D3",796,1965,9
"6832",306,127,2001,13,11217,"126 4 AVENUE","D1",56,2006,8
"6899",306,69,3002,15,11231,"21 DOUGLASS STREET","R1",5,2005,4
"6900",306,69,3002,15,11231,"46 BUTLER STREET","RM",5,0,3
"6953",306,69,2002,15,11231,"86 BUTLER STREET","R3",9,1950,3
"6954",306,69,2002,15,11231,"91 DOUGLASS STREET","R1",5,2008,4
"6955",306,69,2002,15,11231,"77 DOUGLASS STREET","R1",4,1920,4
"7004",306,127,2004,13,11217,"152 4 AVENUE","RM",95,2011,12
"7132",306,75,1002,15,11231,"359 DE GRAW STREET","R3",2,2009,3
"7149",306,75,1001,15,11217,"419 DE GRAW STREET","D5",90,1931,7
"7178",306,75,1001,15,11217,"463 DE GRAW STREET","RM",9,1947,2
"7179",306,75,1001,15,11217,"262 BOND STREET","R6",2,1942,2
"7260",306,75,2003,15,11231,"344 DE GRAW STREET","R4",26,2000,6
"7451",306,75,5000,15,11231,"294 SMITH STREET","RM",2,1900,3
"7452",306,75,5000,15,11231,"345 UNION STREET","R1",8,2007,5
"7453",306,75,5000,15,11231,"321 UNION STREET","R1",7,0,4
"7454",306,75,5000,15,11231,"348 SACKETT STREET","R1",6,2008,4
"7455",306,75,5000,15,11231,"339 UNION STREET","R1",4,1920,3
"7694",306,75,5001,15,11231,"351 COURT STREET","RM",3,1900,4
"7695",306,75,5001,15,11231,"291 PRESIDENT STREET","RM",5,2001,2
"7696",306,75,5001,15,11231,"332 UNION STREET","R6",3,1910,3
"7697",306,75,5001,15,11231,"277 PRESIDENT STREET","R1",5,0,3
"7698",306,75,5001,15,11231,"285 PRESIDENT STREET","R6",3,1920,3
"7763",306,75,4000,15,11231,"370 UNION STREET","R2",16,1910,4
"7764",306,75,4000,15,11231,"364 UNION STREET","R1",5,1920,5
"7839",306,119,3001,13,11215,"230 4 AVENUE","RM",6,1900,4
"7911",306,75,4001,15,11231,"297 CARROLL STREET","R1",6,1984,2
"7933",306,75,3006,15,11231,"335 CARROLL STREET","D1",30,1931,5
"7943",306,75,3006,15,11231,"402 PRESIDENT STREET","R4",55,1938,4
"7944",306,75,3006,15,11231,"342 BOND STREET","R3",34,2009,3
"7992",306,119,2011,15,11215,"459 CARROLL STREET","R6",2,1931,4
"7993",306,119,2011,15,11215,"494 PRESIDENT STREET","R6",3,0,1
"7994",306,119,2011,15,11215,"465 CARROLL STREET","R1",4,2012,4
"8042",306,77,4000,15,11231,"240 CARROLL STREET","R1",4,2006,5
"8043",306,77,4000,15,11231,"241 CARROLL STREET","R1",4,2014,5
"8044",306,77,4000,15,11231,"238 CARROLL STREET","R1",3,1920,5
"8156",306,71,2004,15,11217,"363 BOND STREET","D6",268,0,0
"8282",306,77,1004,15,11231,"365 BOND STREET","D6",429,0,0
"8296",306,77,4001,15,11231,"360 SMITH STREET","D1",48,2011,7
"8314",306,77,4001,15,11231,"122 1 PLACE","R1",4,2007,3
"8315",306,77,4001,15,11231,"126 1 PLACE","R1",5,1901,5
"8373",306,77,2000,15,11231,"49 3 STREET","R1",4,1900,3
"8423",306,77,2003,15,11231,"103 3 STREET","R2",43,2009,4
"8510",306,77,2001,15,11231,"395 SMITH STREET","R2",12,0,3
"8511",306,77,2001,15,11231,"24 3 STREET","R1",8,1931,4
"8512",306,77,2001,15,11231,"26 3 STREET","R1",8,1931,4
"8563",306,77,4003,15,11231,"127 4 PLACE","R1",8,2007,5
"8564",306,77,4003,15,11231,"116 3 PLACE","R1",5,1920,6
"8588",306,77,3000,15,11231,"14 4 STREET","R1",8,2006,4
"8589",306,77,3000,15,11231,"26 4 STREET","R4",11,2011,5
"8611",306,77,3002,15,11231,"126 4 PLACE","R6",3,1989,3
"8612",306,77,3002,15,11231,"191 LUQUER STREET","R4",12,0,4
"8613",306,77,3002,15,11231,"203 LUQUER STREET","R1",8,1931,4
"8614",306,77,3002,15,11231,"114 4 PLACE","R1",4,2007,5
"8679",306,77,3005,15,11231,"185 HUNTINGTON STREET","R1",5,0,4
"8688",306,77,3006,15,11231,"505 COURT STREET","R4",124,2006,10
"8721",306,77,3007,15,11231,"529 COURT STREET","R4",25,2005,6
"8722",306,77,3007,15,11231,"202 WEST 9 STREET","R1",6,2005,4
"8723",306,77,3007,15,11231,"527 COURT STREET","RM",16,2010,7
"8724",306,77,3007,15,11231,"478 SMITH STREET","RM",3,2009,4
"8725",306,77,3007,15,11231,"517 COURT STREET","RM",4,2009,6
"8965",306,59,1005,15,11231,"5 DELEVAN STREET","D5",102,1920,4
"9069",306,59,1009,15,11231,"128 PIONEER STREET","R3",3,2004,3
"9071",306,85,1002,15,11231,"408 RED HOOK LANE","D3",703,1938,6
"9135",306,85,3005,15,11231,"110 COLUMBIA STREET","D3",1836,1940,6
"9240",306,53,1008,15,11231,"156 CONOVER STREET","RM",2,1900,4
"9281",306,85,1001,15,11231,"139 RICHARDS STREET","D3",345,1954,3
"9373",306,53,2003,15,11231,"109 WOLCOTT STREET","R6",3,1920,3
"9450",306,53,4003,15,11231,"18 DIKEMAN STREET","R3",9,2007,3
"9585",306,53,3004,15,11231,"95 DIKEMAN STREET","R1",4,1931,3
"9621",306,53,4004,15,11231,"191A RICHARDS STREET","R6",3,2006,3
"9778",306,53,3002,15,11231,"152 BEARD STREET","RM",6,1927,4
"9892",307,143,1004,15,11215,"219 17 STREET","R1",10,2004,6
"9960",307,143,1003,15,11215,"236 17 STREET","D1",17,0,0
"9991",307,143,1003,15,11215,"599 4 AVENUE","RM",19,1920,8
"10127",307,149,4000,15,11215,"330 PROSPECT AVENUE","R1",6,1984,3
"10174",307,149,4002,15,11215,"393 17 STREET","R6",3,2003,3
"10175",307,149,4002,15,11215,"394 PROSPECT AVENUE","R1",8,2007,4
"10233",307,169,4000,15,11215,"466 PROSPECT AVENUE","R1",8,1935,4
"10286",307,169,4001,15,11215,"261 PROSPECT PARK WEST","RM",3,1930,4
"10287",307,169,4001,15,11215,"261 PROSPECT PARK WEST","R1",8,1930,4
"10385",307,143,2000,15,11215,"248 17 STREET","R1",6,2002,3
"10405",307,147,1000,15,11215,"329A 18 STREET","R3",4,2001,3
"10406",307,147,1000,15,11215,"319 18 STREET","R2",13,2004,5
"10407",307,147,1000,15,11215,"639 6 AVENUE","R1",6,2005,6
"10472",307,149,4003,15,11215,"418 17 STREET","R3",11,1920,3
"10473",307,149,4003,15,11215,"1702 8 AVENUE","RM",2,1931,3
"10535",307,169,5000,15,11215,"274 PROSPECT PARK WEST","R1",8,1930,4
"10536",307,169,5000,15,11215,"468 17 STREET","R3",20,1989,3
"10537",307,169,5000,15,11215,"444 17 STREET","R3",9,2005,3
"10538",307,169,5000,15,11215,"485 18 STREET","R1",7,2006,4
"10539",307,169,5000,15,11215,"493 18 STREET","R1",3,2008,2
"10540",307,169,5000,15,11215,"481 18 STREET","R6",3,0,3
"10599",307,169,5001,15,11215,"279 PROSPECT PARK WEST","R3",23,1920,2
"10604",307,143,2001,15,11215,"655 5 AVENUE","D7",10,1931,4
"10674",307,143,2001,15,11215,"260 18 STREET","R1",4,2005,4
"10675",307,143,2001,15,11215,"277 19 STREET","RM",9,2009,4
"10731",307,143,3002,15,11215,"272 19 STREET","R1",6,2009,4
"10803",307,147,1002,15,11215,"315 20 STREET","R4",13,2004,4
"10804",307,147,1002,15,11215,"560 7 AVENUE","R4",11,2004,6
"10805",307,147,1002,15,11215,"320 19 STREET","R1",5,2012,4
"10930",307,145,1000,15,11215,"259 21 STREET","RM",38,2006,5
"10931",307,145,1000,15,11215,"284 20 STREET","R2",14,2007,4
"10932",307,145,1000,15,11215,"298 20 STREET","R3",3,2014,3
"10993",307,147,2000,15,11215,"351 21 STREET","R2",16,2006,4.5
"10994",307,147,2000,15,11215,"318 20 STREET","R1",64,0,4
"11042",307,145,1001,15,11215,"270 21 STREET","R6",3,1899,3
"11043",307,145,1001,15,11215,"274 21 STREET","R1",5,2006,4
"11044",307,145,1001,15,11215,"282 21 STREET","R4",10,2008,5
"11045",307,145,1001,15,11215,"272 21 STREET","R1",4,2007,4
"11115",307,147,2001,15,11215,"352 21 STREET","R2",8,2006,4
"11180",307,145,1002,15,11215,"708 6 AVENUE","R4",15,2008,7
"11181",307,145,1002,15,11215,"712 6 AVENUE","R1",8,2004,5
"11244",307,147,2002,15,11215,"320 23 STREET","R2",16,2006,4
"11245",307,147,2002,15,11215,"313 23 STREET","R2",16,2006,4
"11246",307,147,2002,15,11215,"324 22 STREET","R1",7,2006,4
"11247",307,147,2002,15,11215,"312 23 STREET","R1",7,2008,4
"11255",306,129.01,1003,15,11217,"564 PACIFIC STREET","D1",45,1920,7
"11280",306,129.01,1003,15,11217,"586 PACIFIC STREET","R1",8,1990,3
"11281",306,129.01,1003,15,11217,"584 PACIFIC STREET","R1",2,1900,4
"11282",306,129.01,1003,15,11217,"393 DEAN STREET","R2",16,2004,4
"11283",306,129.01,1003,15,11217,"405 DEAN STREET","R1",8,2005,4
"11284",306,129.01,1003,15,11217,"582 PACIFIC STREET","R1",2,1920,4
"11349",306,129.01,1004,15,11217,"392 DEAN STREET","R6",2,1910,4
"11350",306,129.01,1004,15,11217,"413 BERGEN STREET","R1",4,0,4
"11381",306,129.02,1003,13,11217,"451 BERGEN STREET","RM",8,1931,4
"11449",306,129.01,2000,13,11217,"123 ST MARKS PLACE","R6",3,0,3
"11450",306,129.01,2000,13,11217,"103 ST MARKS PLACE","R6",2,2003,4
"11451",306,129.01,2000,13,11217,"81 ST MARKS PLACE","R1",4,2005,4
"11452",306,129.01,2000,13,11217,"119 ST MARKS PLACE","R1",4,1920,3
"11453",306,129.01,2000,13,11217,"99 ST MARKS PLACE","R6",3,1910,3
"11454",306,129.01,2000,13,11217,"392 BERGEN STREET","R6",3,1910,3
"11455",306,129.01,2000,13,11217,"105 ST MARKS PLACE","R1",4,1910,4
"11517",306,129.02,2001,13,11217,"444 BERGEN STREET","R1",8,1920,4
"11518",306,129.02,2001,13,11217,"33 ST MARKS AVENUE","R1",4,1901,3
"11519",306,129.02,2001,13,11217,"35 ST MARKS AVENUE","R1",4,1920,4
"11571",306,129.01,2001,13,11217,"132 ST MARKS PLACE","R1",8,1920,4
"11572",306,129.01,2001,13,11217,"104 ST MARKS PLACE","R1",8,1931,4
"11573",306,129.01,2001,13,11217,"130 ST MARKS PLACE","R1",9,1931,4
"11574",306,129.01,2001,13,11217,"649 WARREN STREET","R3",24,1988,3
"11575",306,129.01,2001,13,11217,"102 ST MARKS PLACE","R1",4,0,4
"11576",306,129.01,2001,13,11217,"118 ST MARKS PLACE","R6",3,1899,3
"11577",306,129.01,2001,13,11217,"134 ST MARKS PLACE","R1",9,2008,5
"11578",306,129.01,2001,13,11217,"112 ST MARKS PLACE","R6",3,1899,3
"11579",306,129.01,2001,13,11217,"136 ST MARKS PLACE","R1",9,2006,5
"11580",306,129.01,2001,13,11217,"645 WARREN STREET","R6",3,1901,3
"11651",306,129.02,2002,13,11217,"82 6 AVENUE","RM",1,1921,3
"11652",306,129.02,2002,13,11217,"67 5 AVENUE","RM",2,1920,3.5
"11653",306,129.02,2002,13,11217,"51 PROSPECT PLACE","R6",2,1901,3
"11670",306,161,3001,13,11217,"85 6 AVENUE","R1",10,1920,3.5
"11732",306,129.01,3000,13,11217,"99 4 AVENUE","R2",24,1920,4
"11733",306,129.01,3000,13,11217,"666 WARREN STREET","R6",2,1931,3
"11734",306,129.01,3000,13,11217,"105 4 AVENUE","R1",8,1931,4
"11802",306,129.02,3000,13,11217,"55 PARK PLACE","R6",2,2008,4
"11803",306,129.02,3000,13,11217,"41 PARK PLACE","R1",4,1890,3
"11804",306,129.02,3000,13,11217,"65 PARK PLACE","RM",17,2012,5
"11858",306,161,3002,13,11217,"112 PROSPECT PLACE","R1",6,1989,3
"11859",306,161,3002,13,11217,"145 PARK PLACE","RM",47,1925,8
"11860",306,161,3002,13,11217,"92 PROSPECT PLACE","R6",3,0,3
"11861",306,161,3002,13,11217,"94 PROSPECT PLACE","R1",4,2011,4
"11884",306,129.01,3002,13,11217,"656 BALTIC STREET","R6",3,1985,3
"11926",306,129.02,3001,13,11217,"11 STERLING PLACE","RM",36,1935,5
"11927",306,129.02,3001,13,11217,"34 PARK PLACE","R6",2,1901,3
"11972",306,161,3003,13,11217,"117 STERLING PLACE","D4",19,1920,4
"11973",306,161,3003,13,11217,"113 STERLING PLACE","D4",11,1920,2
"11990",306,161,3003,13,11217,"121 STERLING PLACE","RM",10,1920,4
"11991",306,161,3003,13,11217,"8 7 AVENUE","R1",3,1920,4
"11992",306,161,3003,13,11217,"133 STERLING PLACE","R4",21,2007,5
"12043",306,131,1001,13,11217,"377 DOUGLASS STREET","R3",24,1988,3
"12044",306,131,1001,13,11217,"401 DOUGLASS STREET","R6",3,1910,3
"12045",306,131,1001,13,11217,"363 DOUGLASS STREET","R6",3,1910,3
"12114",306,131,1000,13,11217,"138 6 AVENUE","R1",2,1899,3
"12115",306,131,1000,13,11217,"40 STERLING PLACE","R3",3,2007,4
"12116",306,131,1000,13,11217,"27 ST JOHNS PLACE","R1",4,1920,4
"12117",306,131,1000,13,11217,"137 5 AVENUE","RM",4,1931,4
"12118",306,131,1000,13,11217,"17 ST JOHNS PLACE","R1",4,1920,4
"12119",306,131,1000,13,11217,"19 ST JOHNS PLACE","R1",8,1920,4
"12172",306,159,4000,13,11217,"100 STERLING PLACE","R4",36,1990,4
"12173",306,159,4000,13,11217,"38 7 AVENUE","R1",4,1900,5
"12174",306,159,4000,13,11217,"122 STERLING PLACE","R2",16,1920,4
"12175",306,159,4000,13,11217,"118 STERLING PLACE","R2",16,1920,4
"12176",306,159,4000,13,11217,"126 STERLING PLACE","R2",16,1912,4
"12254",306,131,2001,13,11217,"689 DE GRAW STREET","R6",3,1920,3
"12255",306,131,2001,13,11217,"695 DE GRAW STREET","R6",3,1899,3
"12256",306,131,2001,13,11217,"667 DE GRAW STREET","R6",3,1899,3
"12257",306,131,2001,13,11217,"675 DE GRAW STREET","R6",3,1899,3
"12321",306,131,2000,13,11217,"47 LINCOLN PLACE","R2",11,1910,3
"12322",306,131,2000,13,11217,"53 LINCOLN PLACE","R1",4,2008,4
"12323",306,131,2000,13,11217,"21 LINCOLN PLACE","R1",4,2009,5
"12386",306,159,4001,13,11217,"153 LINCOLN PLACE","R1",10,1931,4
"12388",306,131,4000,13,11217,"189 4 AVENUE","D6",9,2011,0
"12447",306,131,4000,13,11217,"182 5 AVENUE","RM",7,1931,4
"12448",306,131,4000,13,11217,"675 SACKETT STREET","R4",38,2003,4
"12449",306,131,4000,13,11217,"694 DE GRAW STREET","R6",3,1901,5
"12450",306,131,4000,13,11217,"691 SACKETT STREET","R6",3,1899,3
"12451",306,131,4000,13,11217,"708A DE GRAW STREET","R1",3,2015,4
"12541",306,159,3000,13,11217,"64 7 AVENUE","R2",11,1931,4
"12542",306,159,3000,13,11217,"101 BERKELEY PLACE","R1",4,1910,4
"12543",306,159,3000,13,11217,"129 BERKELEY PLACE","R6",3,1899,4
"12544",306,159,3000,13,11217,"135 BERKELEY PLACE","R6",3,1901,3.5
"12596",306,131,4001,13,11217,"706 SACKETT STREET","R1",8,1931,4
"12597",306,131,4001,13,11217,"728 SACKETT STREET","R1",8,1931,5
"12598",306,131,4001,13,11217,"726 SACKETT STREET","R1",8,1931,5
"12599",306,131,4001,13,11215,"725 UNION STREET","R1",4,1920,4
"12600",306,131,4001,13,11217,"712 SACKETT STREET","R2",14,2009,4
"12601",306,131,4001,13,11217,"688 SACKETT STREET","R1",8,1920,4
"12674",306,131,3001,13,11215,"743 UNION STREET","R1",8,1931,4
"12675",306,131,3001,13,11217,"32 BERKELEY PLACE","R1",3,1920,3
"12740",306,159,3001,13,11217,"134 BERKELEY PLACE","R6",3,1920,3
"12802",306,133,1001,13,11215,"593 PRESIDENT STREET","R1",8,1931,4
"12803",306,133,1001,13,11215,"630 UNION STREET","R2",30,1909,5
"12804",306,133,1001,13,11215,"597 PRESIDENT STREET","R1",4,2005,4
"12805",306,133,1001,13,11215,"678 UNION STREET","R1",10,0,5
"12806",306,133,1001,13,11215,"658 UNION STREET","R6",3,2006,4
"12876",306,133,1000,13,11215,"742 UNION STREET","R1",4,1931,2.5
"12907",306,157,1001,15,11215,"759 PRESIDENT STREET","D4",31,1902,4
"12916",306,157,1001,15,11215,"790 UNION STREET","RM",1,1901,2
"12921",306,133,2001,15,11215,"586 PRESIDENT STREET","D1",25,2002,6
"12922",306,133,2001,15,11215,"598 PRESIDENT STREET","D1",36,2002,6
"12923",306,133,2001,15,11215,"600 PRESIDENT STREET","D1",8,2005,4
"12965",306,133,2001,15,11215,"571 CARROLL STREET","D1",18,2008,4
"12970",306,133,2001,15,11215,"569 CARROLL STREET","R4",18,2003,5
"12971",306,133,2001,15,11215,"638 PRESIDENT STREET","R1",4,2008,6
"13048",306,133,2000,15,11215,"659 CARROLL STREET","R1",4,1920,4
"13049",306,133,2000,15,11215,"661 CARROLL STREET","R1",4,1920,4
"13050",306,133,2000,15,11215,"230A 6 AVENUE","R1",4,2005,4
"13051",306,133,2000,15,11215,"667 CARROLL STREET","R1",4,1920,4
"13078",306,157,2001,15,11215,"705 CARROLL STREET","R1",8,1885,4
"13079",306,157,2001,15,11215,"709 CARROLL STREET","R1",8,1920,4
"13080",306,157,2001,15,11215,"707 CARROLL STREET","R1",8,1920,4
"13133",306,133,3001,15,11215,"580 CARROLL STREET","R4",17,2009,5
"13134",306,133,3001,15,11215,"560 CARROLL STREET","R4",44,2007,12
"13135",306,133,3001,15,11215,"57 GARFIELD PLACE","R6",3,1901,3
"13202",306,133,3000,15,11215,"87 GARFIELD PLACE","R6",3,1901,3
"13252",306,157,3003,15,11215,"199 GARFIELD PLACE","D4",67,1931,4
"13268",306,157,3003,15,11215,"722 CARROLL STREET","R1",4,1997,4
"13269",306,157,3003,15,11215,"159 GARFIELD PLACE","R1",8,1900,4
"13270",306,157,3003,15,11215,"153 GARFIELD PLACE","R1",8,1920,4
"13271",306,133,4000,15,11215,"275 4 AVENUE","D7",78,0,0
"13309",306,133,4000,15,11215,"28 GARFIELD PLACE","R4",8,2004,5
"13310",306,133,4000,15,11215,"255 1 STREET","R4",32,2008,12
"13311",306,133,4000,15,11215,"267 1 STREET","R1",10,2006,5
"13338",306,133,4001,15,11215,"264 6 AVENUE","D4",42,1921,4
"13365",306,133,4001,15,11215,"377 1 STREET","R1",4,1920,4
"13366",306,133,4001,15,11215,"383 1 STREET","R1",4,1920,4
"13427",306,157,4000,15,11215,"190 GARFIELD PLACE","R2",40,1905,4
"13428",306,157,4000,15,11215,"397 1 STREET","R1",8,1920,4
"13461",306,135,3000,15,11215,"270 1 STREET","R1",8,1920,4
"13462",306,135,3000,15,11215,"323 2 STREET","R1",9,1920,4
"13463",306,135,3000,15,11215,"309 2 STREET","R4",21,2008,4
"13594",306,135,3001,15,11215,"302 2 STREET","R4",36,0,4
"13595",306,135,3001,15,11215,"306 2 STREET","R2",46,2004,5
"13596",306,135,3001,15,11215,"354 2 STREET","R4",30,2004,6
"13597",306,135,3001,15,11215,"302 2 STREET","R4",67,2006,13
"13655",306,135,1001,15,11215,"409 3 STREET","R1",4,1921,4
"13656",306,135,1001,15,11215,"425 3 STREET","R1",4,1921,4
"13657",306,135,1001,15,11215,"392 2 STREET","R6",3,1910,3
"13658",306,135,1001,15,11215,"383 3 STREET","R1",2,1910,4
"13713",306,155,2000,15,11215,"198 7 AVENUE","RM",6,1900,4
"13714",306,155,2000,15,11215,"484 2 STREET","R1",4,0,4
"13744",306,135,2001,15,11215,"343 4 AVENUE","RM",113,2006,12
"13797",306,135,2003,15,11215,"333 4 STREET","D4",60,1931,6
"13805",306,135,2003,15,11215,"430 3 STREET","R1",4,1920,4
"13806",306,135,2003,15,11215,"357 4 STREET","R1",4,2007,4
"13807",306,135,2003,15,11215,"392 3 STREET","R1",8,1920,4
"13808",306,135,2003,15,11215,"432 3 STREET","R1",4,1920,4
"13860",306,155,3000,15,11215,"443 4 STREET","RM",2,0,1
"13861",306,155,3000,15,11215,"446 3 STREET","R1",4,2005,4
"13862",306,155,3000,15,11215,"415 4 STREET","R6",3,0,3
"13863",306,155,3000,15,11215,"486 3 STREET","R1",5,2007,3
"13864",306,155,3000,15,11215,"393 4 STREET","R1",4,1920,4
"13937",306,135,2002,15,11215,"363A 5 STREET","R6",3,1899,3
"13938",306,135,2002,15,11215,"342 6 AVENUE","R1",4,1920,4
"13939",306,135,2002,15,11215,"375 5 STREET","R6",3,1899,3
"14015",306,155,4000,15,11215,"234 7 AVENUE","RM",7,1906,4
"14016",306,155,4000,15,11215,"361 6 AVENUE","R1",4,1905,4
"14017",306,137,1000,15,11215,"363 4 AVENUE","D6",104,2013,12
"14156",306,137,1001,15,11215,"353 6 STREET","R1",4,2009,4
"14222",306,153,4000,15,11215,"468 5 STREET","R1",4,1910,4
"14223",306,153,4000,15,11215,"369 6 AVENUE","R1",4,2008,4
"14224",306,153,4000,15,11215,"371 6 AVENUE","R1",4,1920,4
"14280",306,119,1022,15,11215,"251 7 STREET","R4",60,2009,12
"14286",306,137,2000,15,11215,"393 4 AVENUE","D7",51,2012,13
"14339",306,137,2000,15,11215,"307 7 STREET","R1",8,1907,4
"14418",306,137,2001,15,11215,"378 6 AVENUE","RM",6,2007,4
"14530",306,121,1001,15,11215,"426 4 AVENUE","D7",19,2010,11
"14557",306,121,1001,15,11215,"230A 7 STREET","R1",9,2003,5
"14558",306,121,1001,15,11215,"232 7 STREET","R1",7,2009,5
"14599",306,137,3000,15,11215,"243 8 STREET","R1",8,2002,5
"14600",306,137,3000,15,11215,"247 8 STREET","R1",8,2003,4
"14601",306,137,3000,15,11215,"267 8 STREET","R2",16,2004,5
"14602",306,137,3000,15,11215,"288 7 STREET","R6",3,1931,4
"14603",306,137,3000,15,11215,"257 8 STREET","R1",4,2009,4
"14604",306,137,3000,15,11215,"292 7 STREET","R1",4,2007,5
"14789",306,121,1002,15,11215,"438 4 AVENUE","D1",17,2011,12
"14812",306,121,1002,15,11215,"100 9 STREET","R3",10,1988,3
"14813",306,121,1002,15,11215,"445 3 AVENUE","R1",7,1931,4
"14814",306,121,1002,15,11215,"180 8 STREET","R6",3,1899,3
"14815",306,121,1002,15,11215,"186 8 STREET","R1",8,2009,5
"14826",306,137,3001,15,11215,"240 8 STREET","D0",10,1920,5
"14850",306,137,3001,15,11215,"265 9 STREET","R1",8,2004,4
"14884",306,137,3002,15,11215,"329 9 STREET","RM",19,1914,4
"14885",306,137,3002,15,11215,"357 9 STREET","RM",131,1920,7
"15004",306,121,2003,15,11215,"248 9 STREET","R6",3,1931,3
"15022",306,139,4000,15,11215,"288 9 STREET","D3",154,1968,17
"15095",306,139,4001,15,11215,"401 10 STREET","R6",3,1901,3.5
"15170",306,151,4000,15,11215,"497 10 STREET","R6",2,1901,2
"15171",306,151,4000,15,11215,"396 9 STREET","R6",2,1901,4
"15213",306,121,2002,15,11215,"489 3 AVENUE","D6",8,1901,5
"15251",306,121,2002,15,11215,"470 4 AVENUE","D6",60,0,0
"15508",306,151,4001,15,11215,"477 11 STREET","R6",3,1899,3
"15610",306,117,1003,15,11215,"224 11 STREET","R6",2,1899,3
"15611",306,117,1003,15,11215,"175 12 STREET","R1",7,2008,5
"15747",306,139,1001,15,11215,"340 11 STREET","R4",12,1991,5
"15748",306,139,1001,15,11215,"346 11 STREET","R1",4,2001,4
"15749",306,139,1001,15,11215,"392 11 STREET","R1",10,2003,7
"15750",306,139,1001,15,11215,"315 12 STREET","R1",4,2013,4
"15824",306,151,3000,15,11215,"361 12 STREET","R1",4,1920,4
"15825",306,151,3000,15,11215,"489 6 AVENUE","R1",4,1920,4
"15907",306,117,1002,15,11215,"500 4 AVENUE","RM",156,2010,12
"15908",306,117,1002,15,11215,"187 13 STREET","R4",14,2007,4
"16031",306,139,2001,15,11215,"298 12 STREET","R1",8,1925,4
"16032",306,139,2001,15,11215,"306 12 STREET","R1",4,2007,4
"16033",306,139,2001,15,11215,"322 12 STREET","R1",4,2009,4
"16034",306,139,2001,15,11215,"314 12 STREET","R1",6,2009,4
"16035",306,139,2001,15,11215,"294 12 STREET","R1",4,2014,4
"16036",306,139,2001,15,11215,"289 13 STREET","R1",8,2014,4
"16093",306,151,3001,15,11215,"394 12 STREET","R1",6,2004,4
"16094",306,151,3001,15,11215,"378 12 STREET","R1",4,2007,4
"16095",306,151,3001,15,11215,"353 13 STREET","R1",4,2008,4
"16096",306,151,3001,15,11215,"356 12 STREET","R1",10,2008,4
"16097",306,151,3001,15,11215,"362 12 STREET","R1",6,2008,4
"16098",306,151,3001,15,11215,"370 12 STREET","R1",6,2007,5
"16099",306,151,3001,15,11215,"372 12 STREET","R1",6,2006,5
"16100",306,151,3001,15,11215,"360 12 STREET","R1",4,2008,4
"16186",306,117,2001,15,11215,"173 14 STREET","R6",3,2008,3
"16187",306,117,2001,15,11215,"177 14 STREET","R6",3,1899,3
"16297",306,141,1000,15,11215,"318 13 STREET","R1",4,2007,4
"16298",306,141,1000,15,11215,"515 5 AVENUE","RM",15,2008,7
"16299",306,141,1000,15,11215,"290 13 STREET","R1",4,2009,4
"16364",306,149,1000,15,11215,"414 7 AVENUE","RM",4,1900,4
"16365",306,149,1000,15,11215,"412 7 AVENUE","RM",7,1901,4
"16366",306,149,1000,15,11215,"408 7 AVENUE","RM",1,1800,4
"16367",306,149,1000,15,11215,"410 7 AVENUE","RM",1,1915,4
"16464",306,117,2002,15,11215,"105 15 STREET","R4",7,2005,5
"16465",306,141,3001,15,11215,"535 4 AVENUE","D7",148,0,0
"16509",306,141,3001,15,11215,"550 5 AVENUE","RM",18,1925,3
"16510",306,141,3001,15,11215,"155 15 STREET","R4",21,2008,5
"16566",306,141,1001,15,11215,"231 15 STREET","R4",24,1931,7
"16567",306,141,1001,15,11215,"534 6 AVENUE","R1",4,2009,4
"16568",306,141,1001,15,11215,"225 15 STREET","R1",6,1931,4
"16640",306,149,2000,15,11215,"440 7 AVENUE","RM",3,1925,4
"16641",306,149,2000,15,11215,"337 15 STREET","R6",3,1899,4
"16797",307,141,3002,15,11215,"188 15 STREET","R1",7,2007,4
"16798",307,141,3002,15,11215,"556 5 AVENUE","RM",8,2007,6
"16799",307,141,3002,15,11215,"192 15 STREET","R1",4,2015,4
"16800",307,141,1002,15,11215,"575 5 AVENUE","D6",49,2008,5
"16843",307,141,1002,15,11215,"249 16 STREET","R2",16,2003,5
"16844",307,141,1002,15,11215,"245 16 STREET","R1",6,2005,4
