CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
980466608,01/01/2015,19:00:00,01/01/2015,19:12:00,01/01/2015,105,ROBBERY,367,"ROBBERY, CHAIN STORE",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,52,INSIDE,CHAIN STORE,,,1014347,253504,40.862441565,-73.891192895,"(40.862441565, -73.891192895)"
403896742,01/01/2015,19:00:00,,,01/01/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,61,INSIDE,RESIDENCE - APT. HOUSE,,,1001697,154576,40.590942615,-73.937182415,"(40.590942615, -73.937182415)"
139386338,01/01/2015,19:00:00,,,01/01/2015,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,63,INSIDE,RESIDENCE-HOUSE,,,1007922,164620,40.6184969,-73.914733721,"(40.6184969, -73.914733721)"
189709073,01/01/2015,19:00:00,01/01/2015,19:15:00,01/01/2015,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,,STREET,,,996305,171431,40.637215084,-73.956566557,"(40.637215084, -73.956566557)"
224127973,01/01/2015,19:00:00,01/01/2015,19:05:00,01/01/2015,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,111,INSIDE,RESIDENCE-HOUSE,,,1048984,216137,40.759693858,-73.766331835,"(40.759693858, -73.766331835)"
609273586,01/01/2015,18:59:00,01/01/2015,19:01:00,01/01/2015,344,ASSAULT 3 & RELATED OFFENSES,114,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,83,INSIDE,RESIDENCE-HOUSE,,,1008524,190571,40.689725074,-73.912471887,"(40.689725074, -73.912471887)"
245894275,01/01/2015,18:55:00,01/01/2015,18:58:00,01/01/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,50,INSIDE,GROCERY/BODEGA,,,1011047,256269,40.870041281,-73.903112197,"(40.870041281, -73.903112197)"
512923012,01/01/2015,18:45:00,,,01/01/2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,49,INSIDE,CHAIN STORE,,,1030251,254038,40.863838685,-73.833692208,"(40.863838685, -73.833692208)"
454356705,01/01/2015,18:40:00,,,01/01/2015,105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,OTHER,,,996013,231761,40.80280675,-73.957513226,"(40.80280675, -73.957513226)"
561105107,01/01/2015,18:20:00,,,01/01/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,33,,PARK/PLAYGROUND,HIGHBRIDGE PARK MANHATTAN SIDE,,1001895,244618,40.838085797,-73.936233509,"(40.838085797, -73.936233509)"
